r,light_pl_475,light_pl_814,light_pl_160,light_comp_475,light_comp_814,light_comp_160
0.0,0.9710204724701853,1.9532113872227164,29.628902394881642,1.0092286534498582,1.9336567953812311,28.409430271696067
0.01,0.9623823993173942,1.9464968502800128,29.526733193591053,1.0007082965325207,1.9307378614015516,28.336781947694945
0.02,0.9350355429840078,1.9120628077732187,29.319075164711034,0.9702718244123834,1.9011597080812177,28.183523904581136
0.03,0.8947501175734298,1.8553025633035782,29.005297411967984,0.9248458527932455,1.8494820092740518,27.949311758364395
0.04,0.8475102433642677,1.7816261570888314,28.585015011205947,0.8716186870947178,1.7802976391458256,27.633947164814295
0.05,0.799195145387571,1.6968488024075568,28.065115741308286,0.817649907963447,1.6990032108985351,27.241549764255026
0.06,0.7531446627409801,1.6072024542466308,27.460789838034074,0.7668828263831411,1.611822025417453,26.781168572012326
0.07,0.710086743124886,1.5189381185138102,26.78768059283172,0.7200555068182477,1.5250151747695981,26.26212159383514
0.08,0.6706299342964666,1.4381611166204182,26.06143129714971,0.6777594891676092,1.4447043576698189,25.69372683547253
0.09,0.6353588524518404,1.367055866908957,25.29768524243644,0.6405589079152632,1.3732596874846212,25.08530230267345
0.1,0.6042140278790635,1.3035402539211973,24.51208572014034,0.6082803175170551,1.3089689869923231,24.44616600118691
0.11,0.5764351282717513,1.2453171968666488,23.72027602170986,0.5799476741330226,1.249914396561669,23.78563593676191
0.12,0.5512265090143942,1.1901272345815834,22.93779635345054,0.5545444957555083,1.194207334518921,23.1129884513908
0.13,0.5278034351972529,1.1368422489973173,22.17460119682649,0.5310684370956996,1.1408397014792506,22.435242313627384
0.14,0.5057092618295028,1.0856366159106687,21.432315270545715,0.5089422894392346,1.0898170806312333,21.756049665189877
0.15,0.48486506762641224,1.036756773994267,20.711883776993623,0.4880782957532489,1.04120113902175,21.078788008775636
0.16,0.46521282956407145,0.9904448574670416,20.014251918555573,0.46841577882204566,0.9950524820722679,20.40683484708203
0.17,0.44669403976866684,0.9467975295919546,19.340364897616915,0.44989350794702615,0.9513958370937745,19.74356768280646
0.18,0.4292338046448682,0.9057342391559128,18.69116791656303,0.43243154722492183,0.9102122242496317,19.09236401864627
0.19,0.41273726931343796,0.867163704149087,18.067606177779282,0.415927173846159,0.8714800171219008,18.456601357298837
0.2,0.3971083701875578,0.8309935663135192,17.47061763299583,0.40027628519480773,0.8351755359494443,17.839647275456105
0.21,0.38225181860120244,0.7970903309353231,16.900230538668712,0.38537570517508035,0.8011966178970151,17.243623994740684
0.22,0.36810194498245913,0.7652674685898502,16.354688706414194,0.3711576712296099,0.7693399167133057,16.66821086662898
0.23,0.35463126584166893,0.7353349457030957,15.832028437136179,0.35760007730510396,0.7393954006801244,16.112803164483733
0.24,0.34181482074876796,0.7071035779833533,15.330286031738623,0.34468383399920377,0.711154098250452,15.576796161667653
0.25,0.3296276118174624,0.6804211604616719,14.847497791125468,0.33238977389044927,0.6844531996917522,15.059585131543471
0.26,0.3180430102480376,0.6551859532633543,14.381700016200636,0.32069533246151055,0.6591928915663221,14.56056534747392
0.27,0.3070321615591371,0.6312998449526618,13.930929007868082,0.30957330923228876,0.6352778898684118,14.079132082821719
0.28,0.2965660512429554,0.6086648432333525,13.493222287186514,0.2989961703970853,0.6126129978243448,13.614680795866642
0.29,0.2866156613860451,0.5871889139935608,13.06721407849349,0.2889363639043489,0.5911073811499201,13.166697376536403
0.3,0.2771518037583588,0.5667886321186408,12.653095079503409,0.27936542522472263,0.5706765089341415,12.73490360160139
0.31,0.2681450440389227,0.5473812444111609,12.251306582101472,0.27025357138712763,0.551236342233293,12.319059225910241
0.32,0.2595659286997925,0.5288842608436417,11.862289878172964,0.2615709165184049,0.5327031115001604,11.918924004311656
0.33,0.25138507160581525,0.5112304497450622,11.486486259603078,0.25328764789694463,0.5150086665537142,11.534257691654297
0.34,0.24357699399503188,0.4943759290543538,11.12433701827703,0.2453781940618862,0.498108759270079,11.164820042786804
0.35000000000000003,0.23612219649391245,0.47827879052434213,10.77628344608005,0.23782347388339015,0.4819611620393215,10.810370812557842
0.36,0.22900168518490516,0.46289720856702166,10.44276681905666,0.23060495487913396,0.46652373276955855,10.470669752014429
0.37,0.22219648998147942,0.44819497379775547,10.124009494729767,0.22370412748209648,0.45176013981633567,10.145424073409323
0.38,0.21568925997451122,0.4341449821139395,9.819465033761958,0.21710403908488857,0.4376434717358364,9.834156483546534
0.39,0.2094652693498002,0.42072096137557036,9.528418325005557,0.21079026130434028,0.4241476778214093,9.536349209267605
0.4,0.20351003215181196,0.40789664365667494,9.250154257312857,0.2047485963992483,0.4112467134975344,9.251484477414092
0.41000000000000003,0.1978090770745347,0.39564610076079104,8.98395771953618,0.19896486066006372,0.3989150284723498,8.979044514827539
0.42,0.1923491138363961,0.38394398824054826,8.729113600527821,0.1934260015899974,0.38712792176978417,8.7185115483495
