r,light_pl_475,light_pl_814,light_pl_160,light_comp_475,light_comp_814,light_comp_160
0.0,0.9710204724701853,1.9532113872227164,29.628902394881642,1.0092286534498582,1.9336567953812311,28.409430271696067
0.01,0.9613162312331891,1.9420348657835673,29.529568595302948,0.9985448263817929,1.9220090860562216,28.32700612186701
0.02,0.9369569298853787,1.8993020268116954,29.308664115665295,0.9714029689007796,1.880515142164627,28.16100444885031
0.03,0.9017783429837989,1.832999458241253,28.969911628602393,0.9322380728890544,1.8165933547330575,27.913744635223388
0.04,0.8599689547606127,1.7517295730401117,28.527848727698935,0.8858984087914258,1.7382630247686863,27.592283342616962
0.05,0.815772203992587,1.6641542632378683,27.998015143661696,0.8372954111228478,1.6536366842374994,27.204212316046647
0.06,0.7721052754309478,1.5764924973579773,27.396019056424887,0.789750119376147,1.5685865347960901,26.75726030976333
0.07,0.7300908973312721,1.4917949133923603,26.73756096166428,0.7444450328531766,1.4860461363128517,26.259305916467035
0.08,0.6904930275339117,1.4124305457799868,26.038343870970255,0.7021521419663455,1.4083132130007434,25.7183369450274
0.09,0.6539497349061952,1.3404733391016466,25.313940692059788,0.6635089759691137,1.3374085073371864,25.14240804422731
0.1,0.6206228803915289,1.276338148082028,24.57996146714109,0.6286205785574893,1.2738059545338607,24.53966752797213
0.11,0.5901257479965997,1.2184825473088028,23.84835599732176,0.5969778500467402,1.2161482763397713,23.917418534950492
0.12,0.5620107060121124,1.1651378651158126,23.124094332922557,0.5680090138331804,1.1628506693570437,23.281181810911214
0.13,0.5358852894291315,1.114660770800839,22.41034991255717,0.5412106778288707,1.1124286953000422,22.63589061273315
0.14,0.5114858265180683,1.0660781694187078,21.710127709407676,0.5162480140856381,1.0639895728995956,21.986283394109552
0.15,0.4887019437570211,1.0194102256086643,21.026040373005397,0.4929901517448169,1.0175315469515585,21.336839011401157
0.16,0.4674406760500581,0.9749000212527693,20.360385475314086,0.47133215525062516,0.9732551187602663,20.691794089434644
0.17,0.4475889894112887,0.9327811309293881,19.71511438356312,0.4511447485928166,0.931354196798276,20.055112470325053
0.18,0.42902111248978875,0.8931849308782341,19.09190986947134,0.4322859742955796,0.8919344350694949,19.430558540225345
