r,light_pl_475,light_pl_814,light_pl_160,light_comp_475,light_comp_814,light_comp_160
1.23,0.05090176353502756,0.1006686350493585,2.3153994392499064,0.05140410171792364,0.09946332360969096,2.271502181821844
1.24,0.05030748646733885,0.09947930727891012,2.288406013975455,0.05081834590988172,0.09827088077028716,2.2438032202190943
1.25,0.04972268646527332,0.09830811164789591,2.261875755539576,0.05024168913691927,0.09709709129833972,2.216603852133252
1.26,0.049147094111518914,0.09715453555768318,2.235796722763245,0.04967386726196642,0.09594144253086025,2.18989205668687
1.27,0.04858046539261124,0.09601812084727439,2.2101569747666328,0.04911464201905353,0.09480347479113291,2.1636558132626194
1.28,0.048022567727169514,0.0948984324094973,2.1849445706699133,0.04856378678456451,0.09368275084162828,2.1378831012431787
1.29,0.04747316858873118,0.0937950352200179,2.160147569593251,0.048021074990811645,0.09257883352544659,2.112561900011216
1.3,0.046932038081954175,0.09270750019562785,2.1357540306568206,0.0474862827354416,0.0914912914586087,2.087680188949407
1.31,0.046398967261622605,0.09163544236517854,2.11175201298079,0.04695920733865252,0.09041973612029355,2.0632259474404244
1.32,0.04587375719525401,0.09057849660855989,2.0881298844956855,0.04643965626357674,0.0893637982786957,2.0391874282608233
1.33,0.045356209012589244,0.08953629790102333,2.064878113528682,0.045927437036379026,0.08832310879467123,2.015554743696028
1.34,0.04484612586536767,0.08850848570667674,2.041988043061971,0.04542235921963818,0.0872973028846196,1.9923187803750888
1.35,0.04434332819095197,0.08749473523185426,2.019451018959196,0.044924249784791176,0.08628605044566867,1.9694704274780426
1.36,0.04384764519590465,0.08649473876523975,1.9972583870839982,0.044432944534993274,0.08528903794997239,1.9470005741849241
1.37,0.043358906155439435,0.08550818870167388,1.9754014933000195,0.043948279342540454,0.08430595197268893,1.9249001096757705
1.3800000000000001,0.04287694189752491,0.08453478082290526,1.9538716834709002,0.04347009163371682,0.08333648237212644,1.9031599231306167
1.3900000000000001,0.042401597520220324,0.08357423986461701,1.9326603034602818,0.042998233116231126,0.08238034707352557,1.8817709037294974
1.4000000000000001,0.0419327258021378,0.08262630525116313,1.9117588436260253,0.04253256318444553,0.08143727824081126,1.8607240732239922
1.41,0.041470179596004915,0.08169071652189085,1.8911601643149694,0.0420729413068963,0.08050700814937886,1.8400117103125067
1.42,0.04101381294605776,0.08076721576739518,1.8708578819093182,0.041619228136527596,0.0795892715470574,1.8196267873459298
1.43,0.04056349168524333,0.07985556852469054,1.8508456207199582,0.04117129604473918,0.07868382590377937,1.7995622839496128
1.44,0.0401190883750325,0.07895555295029529,1.8311170050577783,0.04072902409135594,0.07779044091913462,1.7798111797489076
1.45,0.03968047565548708,0.07806694732250259,1.8116656592336693,0.04029229141432533,0.07690888641072609,1.760366454369167
1.46,0.03924752708022368,0.07718953183739263,1.7924852075585191,0.03986097805318867,0.0760389340560648,1.7412210874357448
1.47,0.038820125949248364,0.07632310566550682,1.7735692743432163,0.03943497366626985,0.07518037393447732,1.7223680585739918
1.48,0.0383981614591192,0.07546747880724902,1.7549115478094583,0.0390141737312429,0.07433300662830915,1.7038004089290577
1.49,0.037981522888490965,0.07462246138951888,1.736506589871293,0.038598473806803604,0.07349663284258376,1.6855120206521024
1.5,0.037570100215828565,0.0737878649770792,1.7183495951209466,0.03818777013706843,0.07267105467972884,1.6674973849028896
1.51,0.03716379148449409,0.07296351647474245,1.7004357722789154,0.03778196686522089,0.07185608915057536,1.6497510064408887
1.52,0.03676249990777751,0.07214925206802966,1.682760330065696,0.0373809731980685,0.07105156228551804,1.6322673900255655
1.53,0.036366128783653376,0.07134490807167562,1.6653184772017855,0.03698469842536208,0.07025730024052937,1.615041040416391
1.54,0.03597458194563454,0.0705503218749626,1.6481054224076803,0.03659305235722357,0.06947313021998666,1.5980664623728307
1.55,0.035587769907129044,0.06976534325069705,1.6311163744038746,0.03620595129448655,0.0686988915105136,1.5813381606543568
1.56,0.03520560771714688,0.06898982991002915,1.614346568132055,0.035823315945132314,0.0679344311439462,1.5648506667480921
1.57,0.03482801051112563,0.068223639694141,1.5977917842471845,0.03544506710112185,0.06717959627898885,1.548599068395054
1.58,0.03445489383387408,0.06746663124405225,1.5814483190268782,0.03507112594891883,0.06643423485961392,1.532578978918306
1.59,0.03408617876875924,0.06671867317734652,1.5653124889457408,0.0347014190123804,0.06569820462462755,1.5167860322280138
1.6,0.03372179038121592,0.06597964088562434,1.549380610478375,0.034335876652799864,0.06497136996345942,1.5012158622343437
1.61,0.03336165382409076,0.06524940988956741,1.5336490000993874,0.033974429315707426,0.06425359539226883,1.4858641028474635
1.62,0.03300569456277258,0.06452785630235684,1.5181139742833811,0.03361700774526581,0.06354474601429573,1.4707263879775359
1.6300000000000001,0.03265384266018654,0.06381486425334748,1.5027718495049618,0.033263547078560406,0.06284469487563774,1.4557983515347281
1.6400000000000001,0.032306031678465165,0.0631103236352982,1.4876189519208904,0.03291398579615156,0.06215332073308448,1.4410756379282537
1.6500000000000001,0.031962195267473084,0.062414124467482526,1.4726519426018845,0.03256826246242724,0.06147050246878291,1.4265542547382006
1.6600000000000001,0.03162226731536718,0.06172615720558902,1.457867895101427,0.03222631586748282,0.06079611940290053,1.4122306568288796
1.67,0.031286185531578574,0.06104631872502797,1.4432639083802759,0.03188808842087681,0.06013005729894142,1.3981013266155058
1.68,0.030953890703693327,0.06037451078729163,1.4288370813991933,0.03155352544775744,0.05947220682446502,1.3841627465132944
1.69,0.030625323706783458,0.05971063527637586,1.414584513118938,0.031222572356138664,0.0588224587699851,1.3704113989374618
1.7,0.03030042559733025,0.059054594395608666,1.400503302500269,0.030895174724345997,0.058180704252129185,1.356843766303223
1.71,0.02997914061238084,0.05840629546915199,1.386590548503947,0.030571281116701376,0.057546839617112315,1.3434563310257943
1.72,0.029661415700103704,0.05776564994615858,1.3728433531185913,0.030250842642796736,0.05692076542374428,1.3302455790144632
1.73,0.02934719789543653,0.05713256939301971,1.3592590205063986,0.02993381049368505,0.05630238235056338,1.3172082294816818
1.74,0.02903643437119935,0.056506965608042775,1.3458351805928608,0.029620135988717374,0.05569159131839857,1.3043413775624473
1.75,0.028729074951753343,0.05588875445561138,1.3325694928265186,0.02930977291447485,0.05508829749604924,1.291642152460607
1.76,0.028425071852844316,0.055277855266041856,1.3194596166559112,0.02900267728269581,0.05449240967329422,1.2791076833800048
